English,Igbo,Yoruba
Good morning.,Ututu oma.,Ẹ káàárọ̀.
How are you?,Kedu ka imere?,Bawo ni?
Thank you,Daalụ,Ẹ ṣé
Goodbye,Kaa,Odabo
Please,Biko,Ẹ jọ̀ọ́
Yes,Ee,Bẹ́ẹ̀ni
No,Mba,Rara
Welcome,Nnọọ,Ẹ káàbọ̀
My name is,Aha m bụ,Orúkọ mi ni
Where are you going,Ebee ka ị na-aga?,Nibo lo nlọ?
I am hungry.,Agụụ na-agụ m.,Ebi n pa mi
I am tired,Ike agwụla m,Ọrẹ mi ti rẹ mi
What is your name?,Kedu aha gị?,Kí ni orúkọ rẹ?
Help me,Nye m aka,Ran mi lọ́wọ́
Water,Mmiri,Omi
Food,Nri,Ounjẹ
I love you,A hụrụ m gị n’anya,Mo nífẹ̀ẹ́ rẹ
Stop,Kwụsị,Dúró
Go,Gaa,Má lọ
Come,Bịa,Wá
Where can I buy this?,Ebee ka m nwere ike ịzụta nke a?,Nibo ni mo le ra eyi?
I am looking for a doctor,Achọ m dọkịta,Mo n wa dokita
Can you help me with directions?,Ị nwere ike inyere m aka na ụzọ?,Ṣe o le ran mi lọwọ pẹlu itọsọna?
I want to eat something delicious.,Achọrọ m iri ihe na-atọ ụtọ.,Mo fẹ jẹ nkan to dun.
How much does this cost?,Ego ole ka nke a bụ?,Elo ni eyi jẹ?
Can you lower the price for me?,Ị nwere ike belata ego maka m?,Ṣe e le dinku owo fun mi?
Where is the nearest hospital?,Ebee ka ụlọ ọgwụ kachasị nso dị?,Nibo ni ile iwosan ti o sunmọ wa?
The weather is very hot today,Oyi dị ezigbo ọkụ taa,Ooru jẹ gidi gan loni
What time does the market close?,Kedu oge ahịa mechie?,Nigbawo ni ọja máa ti pa?
I need to make a phone call,Achọrọ m ịkpọ oku ekwentị,Mo nilo lati pe ni foonu
Do you have a larger size?,Ị nwere nnukwu nha?,Ṣe o ni iwọn tobi ju?
Can you show me another color?,Ị nwere ike igosi m agba ọzọ?,Ṣe o le fi awọ miiran han mi?
I enjoyed the meal,Enwere m ụtọ iri nri ahụ,Mo gbadun ounjẹ naa
Where can I find fresh vegetables?,Ebee ka m nwere ike ịchọta akwukwo nri ọhụrụ?,Nibo ni mo le ri ẹfọ tuntun?
Can you please repeat that?,Ị nwere ike ikwu ya ọzọ biko?,Ṣe e le tun un so fun mi?
What is the time?,Kedu elekere?,Kini aago?
Do you know where the bus stop is?,Ị maara ebe ụlọ ụgbọ ala nọ?,Ṣe o mọ ibi iduro ọkọ?
I don’t understand what you said,Achọghị m ihe ị kwuru,Mi o ye ohun ti o sọ
